product_key,sku,product_type,price
1,SKU0,haircare,69.80800554211577
2,SKU1,skincare,14.84352327508434
3,SKU2,haircare,11.319683293090566
4,SKU3,skincare,61.163343016437736
5,SKU4,skincare,4.805496036345893
6,SKU5,haircare,1.6999760138659377
7,SKU6,skincare,4.078332863107945
8,SKU7,cosmetics,42.95838438246007
9,SKU8,cosmetics,68.71759674852733
10,SKU9,skincare,64.01573294127854
11,SKU10,skincare,15.707795681912138
12,SKU11,skincare,90.63545998228868
13,SKU12,haircare,71.21338907536008
14,SKU13,skincare,16.160393317379977
15,SKU14,skincare,99.1713286386242
16,SKU15,skincare,36.98924492862691
17,SKU16,skincare,7.547172109791272
18,SKU17,cosmetics,81.46253436923702
19,SKU18,haircare,36.443627770460935
20,SKU19,skincare,51.12387008796474
21,SKU20,skincare,96.34107243996338
22,SKU21,cosmetics,84.89386898495083
23,SKU22,haircare,27.67978088650196
24,SKU23,cosmetics,4.324341185864164
25,SKU24,haircare,4.156308359311108
26,SKU25,haircare,39.62934398509263
27,SKU26,haircare,97.44694661789282
28,SKU27,cosmetics,92.55736081240202
29,SKU28,cosmetics,2.397274705597141
30,SKU29,cosmetics,63.44755918520733
31,SKU30,haircare,8.022859210526393
32,SKU31,skincare,50.8473930517187
33,SKU32,skincare,79.20993601565672
34,SKU33,cosmetics,64.7954350001556
35,SKU34,skincare,37.46759232984246
36,SKU35,cosmetics,84.95778681635043
37,SKU36,skincare,9.813002578754052
38,SKU37,skincare,23.39984475261435
39,SKU38,cosmetics,52.0759306827078
40,SKU39,skincare,19.127477265823256
41,SKU40,skincare,80.54142417094033
42,SKU41,skincare,99.11329161531717
43,SKU42,skincare,46.52916761451677
44,SKU43,haircare,11.74327177630924
45,SKU44,cosmetics,51.35579091311039
46,SKU45,haircare,33.78413803306551
47,SKU46,haircare,27.0822071998889
48,SKU47,skincare,95.71213588093607
49,SKU48,haircare,76.03554442689172
50,SKU49,cosmetics,78.89791320564004
51,SKU50,cosmetics,14.203484264803022
52,SKU51,haircare,26.70076097246173
53,SKU52,skincare,98.03182965646508
54,SKU53,skincare,30.34147071121421
55,SKU54,haircare,31.146243160240854
56,SKU55,haircare,79.85505834078943
57,SKU56,skincare,20.986386037043378
58,SKU57,haircare,49.26320535073416
59,SKU58,skincare,59.84156137728931
60,SKU59,cosmetics,63.828398347710966
61,SKU60,skincare,17.028027920188702
62,SKU61,haircare,52.02874990329492
63,SKU62,cosmetics,72.79635395558736
64,SKU63,skincare,13.017376785287857
65,SKU64,skincare,89.63409560813533
66,SKU65,skincare,33.69771720664313
67,SKU66,skincare,26.03486977396209
68,SKU67,skincare,87.75543235400107
69,SKU68,haircare,37.93181238279032
70,SKU69,skincare,54.86552851706979
71,SKU70,haircare,47.914541824058766
72,SKU71,cosmetics,6.381533162747966
73,SKU72,cosmetics,90.20442752052809
74,SKU73,cosmetics,83.8510176813046
75,SKU74,haircare,3.170011413566155
76,SKU75,skincare,92.99688423397066
77,SKU76,haircare,69.10879954743032
78,SKU77,haircare,57.44974295897148
79,SKU78,haircare,6.306883176111915
80,SKU79,haircare,57.05703122110322
81,SKU80,skincare,91.12831835044432
82,SKU81,haircare,72.81920693031822
83,SKU82,skincare,17.034930739467917
84,SKU83,haircare,68.91124621160633
85,SKU84,haircare,89.10436729210225
86,SKU85,cosmetics,76.96299441519388
87,SKU86,skincare,19.99817694040422
88,SKU87,haircare,80.41403665035574
89,SKU88,cosmetics,75.27040697572501
90,SKU89,cosmetics,97.76008558193868
91,SKU90,skincare,13.881913501359142
92,SKU91,cosmetics,62.11196546396179
93,SKU92,cosmetics,47.71423307582023
94,SKU93,haircare,69.29083100290549
95,SKU94,cosmetics,3.037688724631414
96,SKU95,haircare,77.90392721944775
97,SKU96,cosmetics,24.42313142037338
98,SKU97,haircare,3.526111259143416
99,SKU98,skincare,19.7546048668786
100,SKU99,haircare,68.51783269927664
